epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59845,0.6542,3.44971,1.18576,0.03697,0.77778,0.16162,0.13107,0.43307,3.68438,1.00663,0.0001,0.0001,0.0001
2,11.6121,0.4571,3.26509,1.08829,0.04012,1,0.22782,0.19385,0.34089,3.65177,0.8932,0.000199605,0.000199605,0.000199605
3,16.6815,0.43541,3.01917,1.05009,0.02353,1,0.25656,0.22316,0.40867,3.62314,1.0212,0.00028832,0.00028832,0.00028832
4,20.982,0.43515,2.76012,1.03554,0.01553,1,0.29272,0.21227,0.4814,3.53948,1.10307,0.000366145,0.000366145,0.000366145
5,24.758,0.47572,2.54268,1.07159,0.01104,1,0.33485,0.25778,0.56809,3.32876,1.19299,0.00043308,0.00043308,0.00043308
6,28.9824,0.53993,2.35131,1.07327,0.78178,0.08889,0.38201,0.24353,0.64668,3.22376,1.25202,0.000489125,0.000489125,0.000489125
7,33.8947,0.49166,2.18053,1.07383,0.63483,0.16673,0.42994,0.31398,0.63196,2.89766,1.21176,0.00053428,0.00053428,0.00053428
8,37.9994,0.49455,2.04155,1.0907,0.58004,0.38586,0.52012,0.38215,0.64555,2.64865,1.25668,0.000568545,0.000568545,0.000568545
9,41.7146,0.47451,1.923,1.0532,0.56437,0.3909,0.59553,0.49828,0.59622,2.43559,1.20872,0.00059192,0.00059192,0.00059192
10,47.1814,0.47472,1.79645,1.06098,0.54918,0.50835,0.6081,0.50442,0.65593,2.06101,1.24635,0.0005545,0.0005545,0.0005545
11,52.8484,0.63167,2.76348,1.36751,0.6729,0.45316,0.5947,0.44335,0.69097,2.00034,1.22574,0.000505,0.000505,0.000505
12,57.1734,0.46793,2.47674,1.19003,0.50255,0.44872,0.53177,0.43463,0.57031,2.27257,1.08087,0.0004555,0.0004555,0.0004555
13,62.0501,0.48012,2.33458,1.23358,0.4068,0.61256,0.50093,0.4058,0.55306,2.46924,1.10284,0.000406,0.000406,0.000406
14,65.5499,0.39286,2.2066,1.14483,0.6083,0.47811,0.60606,0.55432,0.44736,2.26026,0.9587,0.0003565,0.0003565,0.0003565
15,69.0054,0.4031,2.07982,1.12145,0.68847,0.62175,0.69768,0.63954,0.411,1.90249,0.90702,0.000307,0.000307,0.000307
16,73.9806,0.35964,2.00738,1.07383,0.77148,0.63406,0.7467,0.65652,0.46626,1.57823,0.92751,0.0002575,0.0002575,0.0002575
17,77.8888,0.36518,1.88877,1.05841,0.6722,0.62983,0.70622,0.62788,0.43719,1.57946,0.90023,0.000208,0.000208,0.000208
18,81.7609,0.32151,1.82197,1.0423,0.64256,0.64816,0.73177,0.67108,0.3954,1.59162,0.86976,0.0001585,0.0001585,0.0001585
19,85.9878,0.32602,1.78419,1.03739,0.73845,0.68583,0.76925,0.71824,0.35479,1.48396,0.8409,0.000109,0.000109,0.000109
20,90.8228,0.28061,1.67348,1.01489,0.75953,0.71802,0.77349,0.73304,0.34133,1.37676,0.83564,5.95e-05,5.95e-05,5.95e-05
